,Ashbya_gossypii_ATCC_10895,Aspergillus_fumigatus_Af293,Aspergillus_nidulans_FGSC_A4,Aspergillus_niger_CBS_513_88,Aspergillus_oryzae_RIB40,Candida_albicans_SC5314,Candida_albicans_WO-1,Candida_bracarensis,Candida_castellii,Candida_dubliniensis_CD36,Candida_glabrata_CBS_138,Candida_nivariensis,Candida_orthopsilosis,Coprinopsis_cinerea_okayama7,Cryptococcus_gattii_WM276,Cryptococcus_neoformans_var__grubii_H99,Cyberlindnera_jadinii_NBRC_0988,Debaryomyces_hansenii_CBS767,Encephalitozoon_cuniculi_GB-M1,Eremothecium_cymbalariae_DBVPG,Fusarium_verticillioides_7600,Kazachstania_africana_CBS_2517,Kluyveromyces_lactis_NRRL_Y-1140,Komagataella_pastoris_GS115,Lachancea_thermotolerans_CBS_6340,Magnaporthe_oryzae_70-15,Millerozyma_farinosa_CBS_7064,Myceliophthora_thermophila_ATCC_42464,Nakaseomyces_bacillisporus,Nakaseomyces_delphensis,Naumovozyma_castellii_CBS_4309,Nectria_haematococca_mpVI_77-13-4,Neurospora_crassa_OR74A,Ogataea_parapolymorpha_DL-1,Podospora_anserina_S_mat,Saccharomyces_cerevisiae_S288c,standard_deviation
Afu_335,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,2.054804667656325
Afu_455,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,3.2317865716108862
Afu_513,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,7.0028565600046395
Afu_514,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5773502691896257
Fungi_U3,1,1,2,2,2,4,2,1,1,2,1,1,1,0,0,1,1,2,0,1,3,2,1,1,1,1,2,2,1,1,2,3,3,1,3,2,49.27734295724172
SNORD14,1,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,6.694021015456396
SNORD24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
SNORD27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.699673171197595
snR13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9.924716620639604
snR190,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,28.69221245487276
snR39,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5.024937810560445
snR4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,10.421582173547355
snR40,1,0,0,0,0,2,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,2,0,0,1,1,0,0,0,0,1,6.28545346078994
snR41,1,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,0,1,0,1,6.743476859249147
snR45,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,25.311549857980207
snR47,0,0,0,0,0,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,3.7300911847987814
snR50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snR51,1,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4.932432350158377
snR52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.4714045207910317
snR56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0
snR58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snR62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snR63,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,15.542851955596188
snR67,1,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,2,0,1,0,1,0,0,1,0,1,9.954270440368797
snR68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snR70,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,8.874989132318158
snR73,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,2,0,1,1,1,0,0,1,0,1,4.965253227398213
snR75,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4.794554734492121
snR76,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,0,1,0,1,7.526688625595367
snR77,1,0,0,0,0,2,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,2.703441094235271
snR78,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4.223355856884138
snR79,1,0,0,0,0,2,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,5.566022764800962
snR87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.118033988749895
snoR38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snoR53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
snoZ13_snr52,0,1,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,2.8158282775923835
snosnR48,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,6.562105187346201
snosnR54,1,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,2,0,1,0,1,0,0,0,0,1,2.222916558193618
snosnR55,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,5.766666096612712
snosnR57,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,14.649066718031648
snosnR60_Z15,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,4.599974273146477
snosnR61,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,2,1,0,1,1,1,1,1,1,1,3.2611594074085533
snosnR64,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3.8477987935383977
snosnR66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.533823502911814
snosnR69,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,7.769129616630167
snosnR71,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,3.1616599674854347
